id,week,strtyear,strtmnth,fruitveg,age_ref,educ_ref,gender_ref,fam_size,state
386071,1,2018,1,28.91917991638184,24,13,2,4,
386071,2,2018,1,0,24,13,2,4,
386072,1,2018,1,44.3891191482544,54,16,1,2,17
386072,2,2018,1,22.76999950408936,54,16,1,2,17
386073,1,2018,1,0,62,16,1,3,34
386073,2,2018,1,12.07164025306702,62,16,1,3,34
386076,1,2018,1,0,48,13,1,3,48
386076,2,2018,2,7.230000019073486,48,13,1,3,48
386077,1,2018,1,8.55999955534935,88,12,2,2,51
386077,2,2018,1,0,88,12,2,2,51
386078,1,2018,1,10.02000045776367,26,13,2,3,20
386078,2,2018,2,4.526750087738037,26,13,2,3,20
386080,1,2018,1,12,39,13,2,4,55
386080,2,2018,1,26.96000003814697,39,13,2,4,55
386081,1,2018,1,0,28,15,1,3,39
386081,2,2018,2,0,28,15,1,3,39
386087,1,2018,1,7.46999979019165,31,16,2,2,34
386087,2,2018,1,24.96000003814697,31,16,2,2,34
386088,1,2018,1,4.989999771118164,45,13,2,3,34
386088,2,2018,1,0,45,13,2,3,34
386089,1,2018,1,35.83999919891357,49,13,1,5,49
386089,2,2018,1,29.65000057220459,49,13,1,5,49
386090,1,2018,1,30.26999950408936,49,12,1,4,20
386090,2,2018,1,6.980000019073486,49,12,1,4,20
386091,1,2018,1,2.980000019073486,29,15,2,1,39
386091,2,2018,1,5.929999828338623,29,15,2,1,39
386092,1,2018,1,2.039999961853027,45,12,2,3,51
386092,2,2018,1,7.139999866485596,45,12,2,3,51
386093,1,2018,1,5.650000035762787,54,14,2,2,55
386093,2,2018,1,6.210000038146973,54,14,2,2,55
386094,1,2018,1,0,35,10,1,7,
386094,2,2018,1,6.180000066757202,35,10,1,7,
386101,1,2018,1,17.29000043869019,59,15,1,2,45
386101,2,2018,1,21.67999935150147,59,15,1,2,45
386102,1,2018,1,10.00999999046326,82,10,1,4,4
386102,2,2018,2,0,82,10,1,4,4
386103,1,2018,1,22.27000093460083,47,12,1,4,9
386103,2,2018,1,35.19000053405762,47,12,1,4,9
386104,1,2018,1,15.78000020980835,32,14,2,3,37
386104,2,2018,1,7.950000166893005,32,14,2,3,37
386109,1,2018,1,26.34000015258789,38,13,2,3,48
386109,2,2018,1,31.22000074386597,38,13,2,3,48
386110,1,2018,1,0,52,12,1,1,36
386110,2,2018,1,0,52,12,1,1,36
386111,1,2018,1,19.91312980651856,62,15,2,1,21
386111,2,2018,2,21.14674949645996,62,15,2,1,21
386112,1,2018,1,45.56999826431274,47,16,1,4,36
386112,2,2018,1,107.6099987030029,47,16,1,4,36
386114,1,2018,1,7.200000286102295,28,12,2,2,
386114,2,2018,1,0,28,12,2,2,
386115,1,2018,1,10.84999990463257,35,16,1,1,31
386115,2,2018,1,0,35,16,1,1,31
386120,1,2018,1,3.240000009536743,67,16,1,3,45
386120,2,2018,1,5.179999947547913,67,16,1,3,45
386124,1,2018,1,16.30000019073486,65,16,2,1,51
386124,2,2018,1,20.19000053405762,65,16,2,1,51
386130,1,2018,1,19.63000011444092,58,13,2,2,4
386130,2,2018,1,9.229999780654907,58,13,2,2,4
386131,1,2018,1,0,20,13,1,1,42
386131,2,2018,2,0,20,13,1,1,42
386133,1,2018,1,37.38000106811523,53,15,2,2,31
386133,2,2018,1,38.22999954223633,53,15,2,2,31
386135,1,2018,1,0,33,16,1,4,15
386135,2,2018,1,36.8599796295166,33,16,1,4,15
386136,1,2018,1,33.67999935150147,46,14,1,5,4
386136,2,2018,1,4.639999866485596,46,14,1,5,4
386139,1,2018,1,9.009999990463257,55,12,1,5,
386139,2,2018,1,20.02000045776367,55,12,1,5,
386140,1,2018,1,0,28,14,2,4,39
386140,2,2018,2,4.289999961853027,28,14,2,4,39
386144,1,2018,1,4.860000133514404,76,13,2,1,24
386144,2,2018,1,5.649999856948853,76,13,2,1,24
386145,1,2018,1,0,21,12,1,1,31
386145,2,2018,1,0,21,12,1,1,31
386150,1,2018,2,78.45000076293945,21,12,1,2,
386150,2,2018,2,20.59000062942505,69,15,1,2,
386151,1,2018,2,0,61,13,1,5,2
386151,2,2018,2,0,61,13,1,5,2
386154,1,2018,1,38.12748146057129,47,12,1,3,37
386154,2,2018,1,5.438720226287842,47,12,1,3,37
386156,1,2018,1,0,81,15,2,1,39
386156,2,2018,1,30.52999973297119,81,15,2,1,39
386157,1,2018,1,7.569999933242798,82,12,2,1,55
386157,2,2018,2,0,82,12,2,1,55
386160,1,2018,1,3.012370109558106,32,13,2,3,1
386160,2,2018,2,0,32,13,2,3,1
386161,1,2018,1,26.61999988555908,41,15,2,4,18
386161,2,2018,1,11.78999996185303,41,15,2,4,18
386164,1,2018,1,3.190000057220459,52,13,2,3,8
386164,2,2018,2,0,52,13,2,3,8
386165,1,2018,1,0,19,13,1,1,42
386165,2,2018,2,0,19,13,2,1,42
386167,1,2018,1,0,67,16,2,1,36
386167,2,2018,1,0,67,16,2,1,36
386168,1,2018,1,12.1552300453186,66,13,2,1,
386168,2,2018,1,0,66,13,2,1,
386169,1,2018,1,0,59,13,1,3,31
386169,2,2018,1,10.55999994277954,59,13,1,3,31
386178,1,2018,1,0,80,11,2,1,
386178,2,2018,2,0,80,11,2,1,
386179,1,2018,1,0,88,12,1,1,6
386179,2,2018,1,0,88,12,1,1,6
386180,1,2018,1,0,27,12,1,1,
386180,2,2018,2,0,27,12,2,1,
386182,1,2018,1,2.890000104904175,88,12,2,1,31
386182,2,2018,1,.9900000095367432,88,12,2,1,31
386184,1,2018,1,4,56,13,2,3,42
386184,2,2018,1,8.639999806880951,56,13,2,3,42
386186,1,2018,1,13.25,67,13,2,2,12
386186,2,2018,1,5.950000047683716,67,13,2,2,12
386188,1,2018,1,0,25,14,1,2,45
386188,2,2018,2,0,25,14,1,2,45
386190,1,2018,1,11.33999979496002,81,12,1,1,9
386190,2,2018,1,0,81,12,1,1,9
386191,1,2018,1,0,54,13,2,2,1
386191,2,2018,1,23.41670989990234,54,13,2,2,1
386192,1,2018,1,0,66,15,1,2,41
386192,2,2018,1,30.8199987411499,66,15,1,2,41
386193,1,2018,1,35.67294120788574,62,12,1,2,
386193,2,2018,1,14.37929964065552,62,12,1,2,
386194,1,2018,1,26.34000015258789,33,16,1,3,48
386194,2,2018,1,15.35999965667725,33,16,1,3,48
386196,1,2018,1,4.380000114440918,61,15,2,2,13
386196,2,2018,1,2,61,15,2,2,13
386202,1,2018,1,2.730000019073486,31,16,2,1,53
386202,2,2018,1,.5699999928474426,31,16,2,1,53
386203,1,2018,1,2.980000019073486,25,14,2,2,32
386203,2,2018,1,0,25,14,2,2,32
386210,1,2018,1,7.789999961853027,57,15,1,4,29
386210,2,2018,1,0,57,15,1,4,29
386215,1,2018,1,8.441940188407898,53,15,2,1,4
386215,2,2018,1,0,53,15,2,1,4
386216,1,2018,1,2.990000009536743,28,12,2,3,42
386216,2,2018,1,9.440000057220459,28,12,2,3,42
386218,1,2018,1,6.829999923706055,76,14,2,2,32
386218,2,2018,1,0,76,14,2,2,32
386220,1,2018,1,0,38,15,2,1,6
386220,2,2018,1,0,38,15,2,1,6
386221,1,2018,1,27.62999939918518,49,13,2,5,26
386221,2,2018,1,29.68000030517578,49,13,2,5,26
386223,1,2018,1,12.44999980926514,41,16,1,5,13
386223,2,2018,1,14.3899998664856,41,16,1,5,13
386224,1,2018,1,5.539999842643738,64,12,1,3,17
386224,2,2018,1,43.95000076293945,64,12,1,3,17
386225,1,2018,1,13.03999996185303,48,13,2,4,9
386225,2,2018,1,31.4399995803833,48,13,2,4,9
386226,1,2018,1,0,44,12,2,1,42
386226,2,2018,1,0,44,12,2,1,42
386228,1,2018,1,11.93000030517578,34,14,1,1,
386228,2,2018,1,1.620000004768372,34,14,1,1,
386230,1,2018,2,0,38,12,1,5,4
386230,2,2018,2,0,38,12,1,5,4
386234,1,2018,1,22.25999927520752,43,12,1,5,48
386234,2,2018,1,12.05000019073486,43,12,1,5,48
386236,1,2018,1,9.109999656677246,48,15,1,2,1
386236,2,2018,2,10.38000011444092,48,15,1,2,1
386238,1,2018,1,0,37,13,1,2,49
386238,2,2018,1,0,37,13,1,2,49
386240,1,2018,1,4,50,15,2,4,39
386240,2,2018,1,9.050000190734863,50,15,2,4,39
386242,1,2018,1,12.28999996185303,62,12,2,1,8
386242,2,2018,2,16.1199996471405,62,12,2,1,8
386247,1,2018,1,1.879999995231628,25,15,2,1,6
386247,2,2018,1,.9900000095367432,25,15,2,1,6
386249,1,2018,1,26.81262969970703,73,13,1,2,
386249,2,2018,1,16.00000953674316,73,13,1,2,
386253,1,2018,1,20.48999977111816,41,13,2,4,
386253,2,2018,2,0,41,13,2,4,
386256,1,2018,1,43.10150051116943,36,15,1,3,37
386256,2,2018,1,12.00999975204468,36,15,1,3,37
386257,1,2018,1,54.98999786376953,18,11,1,2,25
386257,2,2018,1,11.17999982833862,18,11,1,2,25
386258,1,2018,1,19,30,13,1,3,13
386258,2,2018,1,22,30,13,1,3,13
386262,1,2018,1,9.420000076293945,56,16,1,2,55
386262,2,2018,1,50.95999813079834,56,16,1,2,55
386263,1,2018,1,0,71,12,1,1,49
386263,2,2018,1,12.45000016689301,71,12,1,1,49
386267,1,2018,1,29.7110595703125,78,11,1,2,37
386267,2,2018,1,16.93358993530273,78,11,1,2,37
386268,1,2018,1,15.15999984741211,27,16,1,2,
386268,2,2018,1,17.02000045776367,27,16,1,2,
386269,1,2018,1,5.489999771118164,29,15,1,2,42
386269,2,2018,2,0,29,15,1,2,42
386270,1,2018,1,11.61999988555908,51,14,1,2,47
386270,2,2018,1,0,51,14,1,2,47
386271,1,2018,1,22.20999956130981,39,11,2,6,6
386271,2,2018,1,1,39,11,2,6,6
386273,1,2018,1,0,59,16,2,1,12
386273,2,2018,2,13.6399998664856,59,16,2,1,12
386276,1,2018,1,2.5,88,13,2,1,29
386276,2,2018,2,7.709999799728394,88,13,2,1,29
386279,1,2018,1,1.279999971389771,35,15,2,2,48
386279,2,2018,1,0,35,15,2,2,48
386282,1,2018,1,16.44000005722046,20,12,2,4,48
386282,2,2018,1,2.679999947547913,20,12,2,4,48
386284,1,2018,1,12.88999962806702,28,12,1,2,37
386284,2,2018,1,0,28,12,1,2,37
386287,1,2018,1,0,26,12,2,4,17
386287,2,2018,1,17.56999969482422,26,12,2,4,17
386288,1,2018,1,1.309999942779541,25,14,2,3,47
386288,2,2018,1,0,25,14,2,3,47
386289,1,2018,1,0,29,13,1,1,55
386289,2,2018,1,0,29,13,1,1,55
386291,1,2018,1,7.908070087432861,59,16,1,2,31
386291,2,2018,1,62,59,16,1,2,31
386292,1,2018,1,0,37,14,1,2,53
386292,2,2018,1,0,37,14,1,2,53
386293,1,2018,1,0,34,14,2,4,24
386293,2,2018,2,47.6800012588501,34,14,2,4,24
386294,1,2018,1,27.44000053405762,42,13,1,3,6
386294,2,2018,1,39.85999965667725,42,13,1,3,6
386298,1,2018,1,10.54000020027161,62,12,1,1,1
386298,2,2018,1,24.34000015258789,62,12,1,1,1
386299,1,2018,1,0,36,12,1,1,41
386299,2,2018,1,1.980000019073486,36,12,1,1,41
386303,1,2018,1,4.869999885559082,74,10,2,3,51
386303,2,2018,2,1.598610043525696,74,10,2,3,51
386305,1,2018,1,65.77000045776367,24,16,2,2,39
386305,2,2018,1,47.53999900817871,24,16,2,2,39
386308,1,2018,1,0,53,12,1,2,22
386308,2,2018,2,5.759999990463257,53,12,1,2,22
386311,1,2018,1,2.460000038146973,80,11,2,1,36
386311,2,2018,1,3.980000019073486,80,11,2,1,36
386312,1,2018,1,26.07999992370606,54,15,1,3,24
386312,2,2018,1,32.67000007629395,54,15,1,3,24
386313,1,2018,1,0,69,12,2,1,36
386313,2,2018,1,0,69,12,2,1,36
386316,1,2018,1,0,64,13,1,2,36
386316,2,2018,1,7.059999942779541,64,13,1,2,36
386317,1,2018,1,30.14999914169312,63,15,1,1,15
386317,2,2018,1,20.86999988555908,63,15,1,1,15
