Month,Year,Weeks
1,1948,8.9
2,1948,8.4
3,1948,8.7
4,1948,8.5
5,1948,9.1
6,1948,8.8
7,1948,8.6
8,1948,8.8
9,1948,8.5
10,1948,9.5
11,1948,7.8
12,1948,8.1
1,1949,8.2
2,1949,8.3
3,1949,8.3
4,1949,8.8
5,1949,9.1
6,1949,10
7,1949,10.8
8,1949,11
9,1949,11.7
10,1949,10.9
11,1949,11.6
12,1949,11.8
1,1950,11.3
2,1950,11.8
3,1950,12.4
4,1950,12.6
5,1950,12.7
6,1950,13.1
7,1950,12.5
8,1950,12.2
9,1950,12.2
10,1950,12.3
11,1950,10.7
12,1950,10.7
1,1951,10.6
2,1951,10.8
3,1951,10.1
4,1951,10.6
5,1951,9.9
6,1951,8.7
7,1951,9.2
8,1951,9.1
9,1951,9.1
10,1951,8.9
11,1951,9.7
12,1951,9.3
1,1952,9.3
2,1952,8.8
3,1952,8.4
4,1952,9
5,1952,7.8
6,1952,7.3
7,1952,7.5
8,1952,7.6
9,1952,8.1
10,1952,9.1
11,1952,9.5
12,1952,8.8
1,1953,9.3
2,1953,8.4
3,1953,8.5
4,1953,7.8
5,1953,7.9
6,1953,8.2
7,1953,7.9
8,1953,8
9,1953,7.1
10,1953,7.2
11,1953,7.9
12,1953,8
1,1954,8.7
2,1954,9.5
3,1954,10.6
4,1954,10.9
5,1954,11.6
6,1954,12.3
7,1954,12.5
8,1954,12.8
9,1954,12.9
10,1954,13.3
11,1954,13.2
12,1954,13.4
1,1955,13.4
2,1955,14.2
3,1955,13.4
4,1955,14.3
5,1955,14.4
6,1955,13.4
7,1955,13.8
8,1955,12.3
9,1955,11.7
10,1955,11.5
11,1955,11.3
12,1955,12
1,1956,11.7
2,1956,12.5
3,1956,11.6
4,1956,11
5,1956,10.4
6,1956,10.1
7,1956,10.5
8,1956,12
9,1956,11.8
10,1956,11.6
11,1956,10.9
12,1956,11.4
1,1957,10.4
2,1957,10.7
3,1957,10.8
4,1957,10.6
5,1957,10.4
6,1957,10.2
7,1957,10.1
8,1957,10.5
9,1957,9.8
10,1957,11.1
11,1957,10.4
12,1957,10.4
1,1958,10.5
2,1958,11
3,1958,11.2
4,1958,12.1
5,1958,13.1
6,1958,14.4
7,1958,14.6
8,1958,15.7
9,1958,16.5
10,1958,16.5
11,1958,16.4
12,1958,15.7
1,1959,16.3
2,1959,15.5
3,1959,15.3
4,1959,14.9
5,1959,14.7
6,1959,14.9
7,1959,14.3
8,1959,13.7
9,1959,13.7
10,1959,12.9
11,1959,13.1
12,1959,13.1
1,1960,13.5
2,1960,13.1
3,1960,13
4,1960,12.6
5,1960,11.9
6,1960,11.9
7,1960,12.6
8,1960,12.2
9,1960,12.9
10,1960,13.5
11,1960,13.9
12,1960,12.4
1,1961,13.7
2,1961,13.6
3,1961,14.1
4,1961,15.5
5,1961,15.6
6,1961,16.2
7,1961,17.3
8,1961,17
9,1961,16.1
10,1961,15.9
11,1961,17
12,1961,15.8
1,1962,15.3
2,1962,16
3,1962,15
4,1962,14.9
5,1962,15.5
6,1962,15.1
7,1962,14.6
8,1962,14.5
9,1962,14.1
10,1962,14.1
11,1962,13.3
12,1962,13.6
1,1963,13.8
2,1963,14.1
3,1963,14.5
4,1963,14.5
5,1963,14.5
6,1963,14
7,1963,14
8,1963,13.9
9,1963,14.2
10,1963,13.9
11,1963,13.3
12,1963,13.3
