Year,State,Res,Com,Ind
2019,Alabama,12.53,11.52,5.76
2019,Alaska,22.92,19.8,23.5
2019,Arizona,12.43,10.25,6.33
2019,Arkansas,9.8,8.78,5.43
2019,California,19.15,16.67,9.67
2019,Colorado,12.18,10.43,7.4
2019,Connecticut,21.87,16.75,13.44
2019,Delaware,12.55,9.53,7.7
2019,District of Columbia,12.98,12.26,8.22
2019,Florida,11.7,9.27,7.65
2019,Georgia,11.76,10.02,6.17
2019,Hawaii,32.06,29.23,25.76
2019,Idaho,9.89,7.67,6.08
2019,Illinois,13.03,9.08,6.91
2019,Indiana,12.58,11.03,7.36
2019,Iowa,12.46,9.99,7.27
2019,Kansas,12.71,10.29,7.35
2019,Kentucky,10.8,10.15,5.57
2019,Louisiana,9.8,8.91,5.23
2019,Maine,17.89,12.83,9.22
2019,Maryland,13.12,9.97,7.8
2019,Massachusetts,21.92,16.8,14.76
2019,Michigan,15.74,11.39,7.07
2019,Minnesota,13.04,10.34,7.53
2019,Mississippi,11.27,10.52,5.85
2019,Missouri,11.14,9.07,7.11
2019,Montana,11.13,10.41,5.45
2019,Nebraska,10.77,8.85,7.65
2019,Nevada,12,8.04,6.14
2019,New Hampshire,20.05,15.93,13.09
2019,New Jersey,15.85,12.23,6.57
2019,New Mexico,12.51,9.79,5.48
2019,New York,17.94,14.06,5.61
2019,North Carolina,11.42,8.81,6.3
2019,North Dakota,10.3,9.01,7.94
2019,Ohio,12.38,9.72,6.55
2019,Oklahoma,10.21,7.98,5.07
2019,Oregon,11.01,8.85,5.86
2019,Pennsylvania,13.8,8.71,6.41
2019,Rhode Island,21.73,16.38,15.59
2019,South Carolina,12.99,10.58,6.11
2019,South Dakota,11.55,9.59,7.81
2019,Tennessee,10.87,10.65,5.68
2019,Texas,11.76,8.06,5.45
2019,Utah,10.4,8.26,5.98
2019,Vermont,17.71,15.98,11.05
2019,Virginia,12.07,8.18,6.85
2019,Washington,9.71,8.75,4.8
2019,West Virginia,11.25,9.16,6.02
2019,Wisconsin,14.18,10.72,7.31
2019,Wyoming,11.18,9.64,6.73
