id,ftemp,age,educ,annualinc,marital,children,race,homeowner,state
4003,1,38,9,37673.789,1,2,1,1,41
4170,1,35,12,33775.051,1,2,1,1,15
4172,1,41,16,66030.805,1,2,1,1,41
4175,1,30,12,44410.102,1,2,1,1,41
5001,1,46,9,36813.637,1,0,1,1,41
5003,1,27,12,28186.389,1,2,1,1,41
6006,1,35,17,121543.43,1,3,1,1,26
6170,1,45,11,79470.703,1,2,1,1,12
7003,1,35,12,27464.141,1,3,1,0,34
10005,1,31,11,19867.676,1,1,2,0,32
10021,1,43,13,74641.688,1,1,2,1,19
11003,1,37,12,60771.715,1,0,1,1,4
13170,1,42,12,83444.242,1,2,1,1,50
13176,0,36,12,48473.625,1,1,1,1,50
14004,1,26,12,47331.816,1,2,1,0,4
16170,1,32,12,59655.621,1,2,1,0,4
16172,1,31,12,44394.906,1,0,7,0,4
18003,1,33,12,41336.453,1,2,1,0,4
18004,1,36,12,107308.83,1,3,1,1,4
18005,1,37,12,47916.16,1,0,1,0,4
18021,1,43,13,77489.781,1,2,1,1,4
19003,1,38,12,11686.868,2,0,1,0,4
22004,1,25,12,41897.422,1,1,2,0,9
39001,1,45,17,42773.938,1,0,1,0,24
40003,1,29,12,61239.191,1,3,1,1,14
41003,1,36,12,26879.797,1,2,1,1,34
45173,1,34,8,15076.061,1,2,1,0,41
47001,1,54,14,43942.625,1,3,1,1,33
47005,1,25,17,53993.332,1,0,1,0,4
47170,0,29,12,17530.303,1,1,1,1,33
50001,1,54,12,62291.008,1,2,1,1,12
50003,1,30,12,48500.504,1,1,1,1,12
50004,1,26,13,21749.262,2,0,1,1,12
50170,1,30,16,119673.53,1,0,1,1,4
51001,0,48,12,28597.768,1,0,1,1,12
53001,1,55,10,38566.664,1,0,1,1,5
53003,1,32,11,39151.008,1,2,1,0,23
53005,1,30,9,22205.051,5,0,1,0,3
53007,1,29,12,67620.219,1,2,1,1,3
53008,1,28,12,28632.828,1,1,1,0,51
53009,1,25,12,25243.637,1,1,1,0,5
53010,1,23,12,14608.586,1,1,1,0,5
53172,1,28,9,33789.074,1,1,1,0,17
53173,1,31,12,26879.797,1,3,1,1,5
57001,1,57,11,17390.061,1,0,1,1,39
60003,1,40,16,82976.766,1,0,1,0,39
60022,1,41,17,105772,1,1,1,1,9
60172,1,44,12,29100.303,1,2,1,1,39
61171,1,32,16,48617.371,1,1,1,1,39
68003,0,23,14,40915.727,1,0,1,0,4
75001,1,59,10,59620.559,1,0,1,1,18
75170,1,27,14,28153.666,1,0,1,0,18
84001,1,57,12,115700,1,1,1,1,13
84003,1,33,12,58068.543,1,3,1,1,12
84171,1,39,12,62992.219,1,3,1,1,13
85001,1,52,13,177056.06,1,2,1,1,3
87004,1,26,12,16595.354,2,2,1,0,3
87177,1,26,10,9291.0605,1,2,2,0,3
88004,1,35,11,37397.98,5,1,1,0,39
88005,1,31,12,38566.664,1,2,1,1,39
89170,1,38,12,38274.492,1,2,1,1,39
89175,1,33,11,53878.801,1,4,1,0,39
90001,1,51,17,86833.43,1,0,1,1,39
90004,1,26,16,62407.879,1,0,1,1,39
90170,1,51,15,192599.59,1,0,1,1,39
90172,1,31,12,77133.328,1,0,1,1,39
91001,1,51,17,106350.5,1,1,1,1,42
91170,1,31,13,35738.445,1,0,1,0,42
96170,1,33,17,68017.57,1,2,1,1,29
96173,1,25,14,94780.5,1,0,1,1,31
99170,0,43,16,37500.824,1,2,1,0,14
100020,1,44,16,26646.061,1,1,1,1,24
104001,1,43,12,38566.664,4,0,2,1,16
113001,1,47,15,53093.441,1,2,1,1,31
114003,1,33,12,47916.16,1,2,1,0,31
114021,1,43,17,83210.5,1,3,1,1,31
117001,1,44,17,33891.918,4,0,1,1,24
117170,1,40,17,99104.641,1,0,1,1,24
121003,1,36,14,17296.564,2,0,1,0,16
121004,1,35,17,85314.141,1,0,1,1,16
121005,1,34,17,90690.102,1,2,1,1,16
121006,1,32,17,62745.629,1,2,1,1,16
121171,1,31,17,86070.281,1,3,1,1,16
122001,1,48,14,29434.547,1,2,1,0,35
122003,1,24,14,21036.363,2,0,1,0,29
122004,1,23,12,54928.281,2,0,1,0,29
126001,0,50,12,16254.097,5,0,1,1,34
126174,1,58,13,62248.938,1,0,1,1,34
126177,1,29,13,13276.282,1,1,1,0,34
127170,1,41,12,74211.617,1,3,1,1,22
127171,1,37,12,64920.555,1,2,1,1,22
128001,1,56,17,66615.148,1,0,1,1,22
128003,1,29,12,50274.57,4,0,1,1,22
128004,1,28,14,68543.484,1,0,1,1,21
128005,0,27,12,18161.393,2,0,1,0,22
129003,0,40,8,5100.1494,4,0,1,0,41
129008,0,35,9,1.1686869,4,0,1,0,41
129186,1,34,9,14802.588,1,3,1,0,41
131003,1,31,12,22789.393,1,0,1,1,41
138001,1,54,16,51655.957,1,0,1,1,4
138171,1,24,12,59603.027,1,0,1,0,4
139002,1,23,17,11336.263,2,0,1,0,45
139170,1,51,16,82743.031,1,0,1,1,45
145001,1,54,12,98987.773,1,0,1,1,9
145170,1,28,16,30064.469,1,1,1,0,9
151003,1,38,17,584343.44,1,3,1,1,21
151170,1,43,17,163323.98,1,4,1,1,4
156001,1,47,12,99805.859,1,1,1,1,29
161004,1,27,14,33073.836,2,0,1,0,29
165003,1,43,16,114239.14,1,1,1,1,24
165174,1,38,16,36112.422,1,2,1,1,24
166021,1,40,16,86482.828,1,4,1,1,1
173170,1,37,11,27760.986,1,4,1,1,14
173171,1,34,16,84145.453,1,2,1,1,14
173172,1,33,12,24191.818,1,3,1,1,14
174005,1,36,16,45884.984,1,3,1,1,14
174007,1,32,16,74910.492,1,0,1,0,15
174170,1,44,17,85314.141,1,2,1,1,26
174174,1,47,17,18881.305,1,1,1,0,26
176170,1,43,17,70062.773,1,0,1,1,20
178004,1,31,16,27464.141,1,2,1,0,35
178170,1,33,12,87651.516,1,3,1,0,39
180003,1,38,12,26879.797,1,2,1,1,31
181003,1,32,14,47039.645,1,2,1,1,31
181021,0,47,16,35284.992,1,1,1,1,18
